person,trial,times,events,block
1,30,1216,targOn,6
1,30,1250,targOff,6
1,31,900,dotRemoved,6
1,31,1000,targOn,6
1,31,1034,targOff,6
1,32,783,dotRemoved,6
1,32,883,targOn,6
1,32,917,targOff,6
1,33,783,dotRemoved,6
1,33,883,targOn,6
1,33,916,targOff,6
1,34,1095,dotRemoved,6
1,34,1195,targOn,6
1,34,1229,targOff,6
1,35,829,dotRemoved,6
1,35,928,targOn,6
1,35,963,targOff,6
1,36,1228,dotRemoved,6
1,36,1327,targOn,6
1,36,1361,targOff,6
1,37,1097,dotRemoved,6
1,37,1197,targOn,6
1,37,1231,targOff,6
1,38,883,dotRemoved,6
1,38,983,targOn,6
1,38,1017,targOff,6
1,39,966,dotRemoved,6
1,39,1066,targOn,6
1,39,1100,targOff,6
1,40,1167,dotRemoved,6
1,40,1266,targOn,6
1,40,1300,targOff,6
1,1,1107,dotRemoved,7
1,1,1199,targOn,7
1,1,1233,targOff,7
1,2,1140,dotRemoved,7
1,2,1232,targOn,7
1,2,1266,targOff,7
1,3,775,dotRemoved,7
1,3,866,targOn,7
1,3,900,targOff,7
1,4,1090,dotRemoved,7
1,4,1182,targOn,7
1,4,1217,targOff,7
1,5,1187,dotRemoved,7
1,5,1279,targOn,7
1,5,1313,targOff,7
1,6,1140,dotRemoved,7
1,6,1232,targOn,7
1,6,1266,targOff,7
1,7,987,dotRemoved,7
1,7,1079,targOn,7
1,7,1113,targOff,7
1,8,891,dotRemoved,7
1,8,983,targOn,7
1,8,1017,targOff,7
1,10,974,dotRemoved,7
1,10,1066,targOn,7
1,10,1100,targOff,7
1,11,841,dotRemoved,7
1,11,933,targOn,7
1,11,967,targOff,7
1,12,1125,dotRemoved,7
1,12,1216,targOn,7
1,12,1251,targOff,7
1,13,1141,dotRemoved,7
1,13,1249,targOn,7
1,13,1283,targOff,7
1,14,791,dotRemoved,7
1,14,899,targOn,7
1,14,934,targOff,7
1,15,787,dotRemoved,7
1,15,895,targOn,7
1,15,929,targOff,7
1,16,1074,dotRemoved,7
1,16,1183,targOn,7
1,16,1217,targOff,7
1,17,891,dotRemoved,7
1,17,999,targOn,7
1,17,1033,targOff,7
1,18,1158,dotRemoved,7
1,18,1267,targOn,7
1,18,1301,targOff,7
1,19,941,dotRemoved,7
1,19,1049,targOn,7
1,19,1084,targOff,7
1,20,1088,dotRemoved,7
1,20,1196,targOn,7
1,20,1231,targOff,7
1,21,1236,dotRemoved,7
1,21,1345,targOn,7
1,21,1379,targOff,7
1,22,774,dotRemoved,7
1,22,866,targOn,7
1,22,900,targOff,7
1,23,821,dotRemoved,7
1,23,930,targOn,7
1,23,964,targOff,7
1,24,1140,dotRemoved,7
1,24,1249,targOn,7
1,24,1283,targOff,7
1,25,1058,dotRemoved,7
1,25,1166,targOn,7
1,25,1200,targOff,7
1,26,1241,dotRemoved,7
1,26,1349,targOn,7
1,26,1383,targOff,7
1,27,887,dotRemoved,7
1,27,996,targOn,7
1,27,1030,targOff,7
1,28,841,dotRemoved,7
1,28,949,targOn,7
1,28,983,targOff,7
1,29,907,dotRemoved,7
1,29,1016,targOn,7
1,29,1050,targOff,7
1,30,891,dotRemoved,7
1,30,1000,targOn,7
1,30,1034,targOff,7
1,31,824,dotRemoved,7
1,31,932,targOn,7
1,31,967,targOff,7
1,32,1057,dotRemoved,7
1,32,1183,targOn,7
1,32,1217,targOff,7
1,33,1208,dotRemoved,7
1,33,1317,targOn,7
1,33,1351,targOff,7
1,34,1057,dotRemoved,7
1,34,1165,targOn,7
1,34,1199,targOff,7
1,35,1107,dotRemoved,7
1,35,1215,targOn,7
1,35,1249,targOff,7
1,36,1174,dotRemoved,7
1,36,1283,targOn,7
1,36,1317,targOff,7
1,37,991,dotRemoved,7
1,37,1099,targOn,7
1,37,1133,targOff,7
1,38,1224,dotRemoved,7
1,38,1316,targOn,7
1,38,1350,targOff,7
1,39,872,dotRemoved,7
1,39,981,targOn,7
1,39,1015,targOff,7
1,40,1221,dotRemoved,7
1,40,1313,targOn,7
1,40,1347,targOff,7
1,1,897,dotRemoved,8
