person blockN blockType trial flankerSide targetSide respG respC targOri saccStart
7 17 1 29 none left 0 NaN left NaN
7 17 1 30 none right 0 NaN right NaN
7 17 1 31 inner right 0 NaN right NaN
7 17 1 32 outer left 1 up down 0.302175
7 17 1 33 none right 1 down up 0.074976
7 17 1 34 inner left 1 up down 0.074898
7 17 1 35 none right 1 up down 0.000000
7 17 1 36 none right 1 down up 0.158246
7 18 2 1 inner right 1 down right NaN
7 18 2 2 outer left 0 NaN right NaN
7 18 2 3 none right 1 down up NaN
7 18 2 4 none left 1 down up NaN
7 18 2 5 none right 0 NaN up NaN
7 18 2 6 none left 1 down up NaN
7 18 2 7 outer left 1 down up NaN
7 18 2 8 inner right 0 NaN up NaN
7 18 2 9 inner right 1 up down NaN
7 18 2 10 outer left 0 NaN right NaN
7 18 2 11 inner left 0 NaN up NaN
7 18 2 12 none right 1 left right NaN
7 18 2 13 none right 1 left right NaN
7 18 2 14 none left 0 NaN right NaN
7 18 2 15 inner left 1 left left NaN
7 18 2 16 outer left 1 right left NaN
7 18 2 17 none left 1 left right NaN
7 18 2 18 outer right 0 NaN up NaN
7 18 2 19 inner right 1 left right NaN
7 18 2 20 outer right 0 NaN down NaN
7 18 2 21 inner left 1 up down NaN
7 18 2 22 outer left 1 up down NaN
7 18 2 23 outer right 0 NaN left NaN
7 18 2 24 inner right 1 down up NaN
7 18 2 25 inner left 0 NaN up NaN
7 18 2 26 none left 0 NaN down NaN
7 18 2 27 inner right 1 down up NaN
7 18 2 28 outer left 1 right left NaN
7 18 2 29 none right 0 right left NaN
7 18 2 30 inner right 0 NaN up NaN
7 18 2 31 outer right 0 left right NaN
7 18 2 32 outer left 0 right left NaN
7 18 2 33 none right 1 up down NaN
7 18 2 34 none left 1 left right NaN
7 18 2 35 inner left 0 NaN left NaN
7 18 2 36 outer right 1 up down NaN
7 19 1 1 inner left 1 up up 0.301373
7 19 1 2 none right 1 up down 0.302089
7 19 1 3 outer left 1 down up 0.625169
7 19 1 4 inner right 1 up down 0.301501
7 19 1 5 outer left 1 up down 0.000000
7 19 1 6 inner right 0 down up 0.074865
7 19 1 7 none right 1 down right 0.268446
7 19 1 8 none right 1 left right 0.391435
7 19 1 9 none right 1 down up 0.279288
7 19 1 10 outer left 1 left right 0.158237
7 19 1 11 none left 1 left right 0.624892
7 19 1 12 outer left 1 up down 0.268326
7 19 1 13 outer right 0 NaN right NaN
7 19 1 14 inner right 1 left right 0.074903
7 19 1 15 outer left 1 right left 0.158397
7 19 1 16 none left 1 right left 0.257348
