person blockN blockType trial flankerSide targetSide respG respC targOri saccStart targOnTimeStamp targOffTimeStamp
10 8 2 33 outer left 1 down left NaN 1.264698 1.298022
10 8 2 34 none left 1 left left NaN 1.331392 1.364632
10 8 2 35 outer left 1 up down NaN 1.414681 1.447989
10 8 2 36 outer left 1 up left NaN 1.181296 1.214630
10 9 1 1 outer right 1 down left 14069.060402 1.347938 1.381267
10 9 1 2 inner left 1 down down 0.324918 3.014596 3.048094
10 9 1 3 inner right NaN NaN down NaN 0.000000 0.000000
10 9 1 4 inner left 1 up up 0.408173 2.765724 2.798982
10 9 1 5 outer left 1 down left 0.708402 1.848039 1.881298
10 9 1 6 inner right 1 right right 0.241761 1.764675 1.797947
10 9 1 7 outer right 0 left right 0.874836 1.681333 1.714597
10 9 1 8 inner left 1 up up 0.241449 1.681314 1.714584
10 9 1 9 inner left 1 left left 0.241722 1.514660 1.547975
10 9 1 10 none left NaN NaN left NaN 0.000000 0.000000
10 9 1 11 inner left 1 up right 0.241540 1.514499 1.547851
10 9 1 12 outer right 1 left up 0.158395 1.581357 1.614692
10 9 1 13 none left 1 right down 0.158285 1.681246 1.714503
10 9 1 14 inner left 0 left up 0.624671 1.598019 1.631283
10 9 1 15 none left NaN NaN down NaN 1.598029 1.631292
10 9 1 16 none left 1 up down 0.158252 1.664569 1.697822
10 9 1 17 inner right 0 right right 0.074693 1.347954 1.398209
10 9 1 18 outer right 0 right up 0.074977 1.431374 1.464717
10 9 1 19 outer right 1 left up 0.075162 1.598061 1.631290
10 9 1 20 inner right NaN NaN up NaN 1.432140 1.465495
10 9 1 21 inner left 1 left left 0.074903 1.514556 1.547829
10 9 1 22 none left 1 up left 0.541847 1.598014 1.631282
10 9 1 23 none left 1 right right 0.074905 1.748102 1.781305
10 9 1 24 outer left 0 left left 0.074889 1.681208 1.714525
10 9 1 25 inner left NaN NaN left NaN 1.678110 1.711465
10 9 1 26 outer right 0 right right 0.074780 1.348013 1.381271
10 9 1 27 none right NaN NaN down NaN 1.464629 1.497941
10 9 1 28 none left NaN NaN up NaN 1.497892 1.531173
10 9 1 29 none left 1 right right 0.074915 1.347993 1.381243
10 9 1 30 outer right 1 left left 0.075054 1.664735 1.697956
10 9 1 31 outer left 1 left up 0.000000 1.264664 1.297918
10 9 1 32 none left 1 up right 0.458359 1.264429 1.297748
10 9 1 33 outer right 1 right up 0.000000 1.414719 1.447972
10 9 1 34 none right 1 left left 0.000000 1.431472 1.464726
10 9 1 35 none left NaN NaN up NaN 1.331285 1.364538
10 9 1 36 outer right 1 left down 0.000000 1.514612 1.547955
10 10 2 1 none left 1 right right NaN 1.262095 1.295415
10 10 2 2 outer right 1 up up NaN 1.598019 1.631272
10 10 2 3 inner right 1 left up NaN 1.432308 1.465618
10 10 2 4 outer right 1 up up NaN 1.598039 1.631291
10 10 2 5 outer right 1 left right NaN 1.514718 1.547988
10 10 2 6 inner left 1 up left NaN 1.598955 1.632176
10 10 2 7 none left 1 left right NaN 1.597979 1.631310
10 10 2 8 outer left 1 down right NaN 1.264542 1.297883
10 10 2 9 none left 1 up up NaN 1.343252 1.376846
10 10 2 10 inner right 1 up right NaN 1.431370 1.464620
10 10 2 11 outer left 1 down down NaN 1.498013 1.531338
10 10 2 12 outer left 0 right left NaN 1.516147 1.547902
10 10 2 13 inner right 0 left down NaN 1.598042 1.631303
10 10 2 14 inner left 1 up down NaN 1.347856 1.381106
10 10 2 15 outer left 0 right down NaN 1.514690 1.547956
10 10 2 16 inner right 1 up up NaN 1.348065 1.381265
10 10 2 17 none right 0 right right NaN 1.347981 1.381321
10 10 2 18 inner right 1 left down NaN 1.514709 1.547961
10 10 2 19 inner left 0 right down NaN 1.264722 1.297997
10 10 2 20 none right 1 right down NaN 1.514657 1.547986
10 10 2 21 outer right 1 up left NaN 1.681286 1.714625
10 10 2 22 outer left 0 right down NaN 1.264410 1.297724
10 10 2 23 none right 1 right right NaN 1.414796 1.448050
10 10 2 24 outer left 1 right up NaN 1.514738 1.548012
10 10 2 25 inner left 0 up down NaN 1.598406 1.631663
10 10 2 26 none left 1 up up NaN 1.514622 1.547956
10 10 2 27 none right 0 down left NaN 1.681339 1.714628
10 10 2 28 none right 1 right right NaN 1.348052 1.381387
10 10 2 29 outer left 1 up left NaN 1.431282 1.464605
10 10 2 30 none left 1 down up NaN 1.348049 1.381287
10 10 2 31 outer right 1 up down NaN 1.598266 1.631538
10 10 2 32 none left 0 left left NaN 1.514718 1.548039
10 10 2 33 none left 1 left down NaN 1.431787 1.465092
10 10 2 34 inner right NaN NaN up NaN 0.000000 0.000000
10 10 2 35 inner right 1 left right NaN 1.348001 1.381255
10 10 2 36 inner left 0 right right NaN 1.497969 1.531207
10 11 1 1 outer right 0 down down 0.000000 1.261052 1.294337
10 11 1 2 outer left 0 down right 14630.615005 1.347945 1.381351
10 11 1 3 outer left 0 left left 0.241596 2.931355 2.964640
10 11 1 4 inner left 1 left left 0.074956 1.431348 1.464619
10 11 1 5 inner left 1 down left 0.541542 1.514704 1.547965
10 11 1 6 inner right 1 left left 0.075069 1.498003 1.547918
10 11 1 7 none left 1 down down 0.624890 1.264703 1.297962
10 11 1 8 none left 1 right right 0.075152 1.745422 1.778703
10 11 1 9 outer right 0 left down 0.541504 1.264925 1.298178
10 11 1 10 none left 1 left left 0.075131 1.681227 1.714504
10 11 1 11 inner left 1 left left 0.000000 1.348034 1.381276
10 11 1 12 none right NaN NaN right NaN 1.264708 1.314746
10 11 1 13 outer left 1 right up 14678.815461 1.181329 1.214672
10 11 1 14 none right 1 left left 0.475123 1.281924 1.315240
10 11 1 15 inner left 1 right right 0.074952 1.347907 1.381232
10 11 1 16 outer left NaN NaN left NaN 0.000000 0.000000
10 11 1 17 none left 1 left up 0.000000 1.598044 1.631279
10 11 1 18 inner right 1 left right 14696.532260 1.261833 1.295089
10 11 1 19 none left 1 left up 0.000000 1.581286 1.614656
10 11 1 20 outer left 0 right right 14704.898951 1.347888 1.381172
10 11 1 21 inner right 1 left down 0.000000 1.514623 1.547964
10 11 1 22 none left 1 up left 14713.115745 1.347902 1.381162
10 11 1 23 none left 1 down right 0.458440 1.681969 1.715286
10 11 1 24 inner left NaN NaN left NaN 1.515042 1.548293
10 11 1 25 inner left NaN NaN right NaN 1.765440 1.798695
10 11 1 26 outer right 1 down down 0.075275 1.497866 1.531115
10 11 1 27 outer left 1 left up 0.000000 1.264601 1.297990
10 11 1 28 inner right 1 down right 0.000000 1.619302 1.664718
10 11 1 29 inner right 1 left right 14741.599305 1.281303 1.314617
10 11 1 30 none left 0 up up 14746.416019 1.431166 1.464573
10 11 1 31 none right 1 up up 0.000000 1.598006 1.631259
10 11 1 32 outer right NaN NaN left NaN 1.281320 1.314636
10 11 1 33 none left 1 up up 14757.882832 1.264580 1.297898
10 11 1 34 outer left NaN NaN up NaN 1.431246 1.464516
10 11 1 35 inner left NaN NaN down NaN 1.347782 1.381035
10 11 1 36 outer right 1 right right 0.000000 1.431256 1.464591
10 12 2 1 outer left 1 left down NaN 1.264720 1.297988
10 12 2 2 outer right 1 up up NaN 1.181507 1.214810
10 12 2 3 inner right 0 left down NaN 1.264616 1.297940
10 12 2 4 inner right 1 down down NaN 1.181292 1.214626
10 12 2 5 none right 1 up left NaN 1.264585 1.297878
10 12 2 6 outer left 0 left left NaN 1.331304 1.364560
10 12 2 7 outer left 0 left down NaN 1.514622 1.547928
10 12 2 8 none right 1 right right NaN 1.431205 1.464557
10 12 2 9 none left 0 down down NaN 1.597878 1.631127
10 12 2 10 none right 1 left left NaN 1.515601 1.548856
10 12 2 11 outer left 1 right right NaN 1.331361 1.364648
10 12 2 12 outer right 1 left down NaN 1.181366 1.214618
10 12 2 13 inner left 1 right up NaN 1.281254 1.314518
10 12 2 14 none right 1 up up NaN 1.514592 1.547839
10 12 2 15 none right 1 left left NaN 1.348034 1.381369
10 12 2 16 none right 1 up up NaN 1.348014 1.381298
